Time,Country Code,Country Name,GDP (current US$),GDP growth (annual %),Number of infant deaths,Number of neonatal deaths,"Mortality rate, neonatal (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Net migration,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Fertility rate, total (births per woman)",Sex ratio at birth (male births per female births),Population growth (annual %),"Population, total","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)",Rural population,Rural population growth (annual %),Rural population (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population),"Healthy life expectancy, total (years)","Healthy life expectancy, male (years)","Healthy life expectancy, female (years)"
1987,ARG,Argentina,111106191358.2,2.7,17679.0,11646.0,16.8,75.0,80.0,32345.0,70.7,122.4,216.8,22.2,8.2,22.8,25.7,28.5,74.0,70.6,67.1,3.1,1.1,1.5,31216453.0,15862727.0,50.8,15353727.0,49.2,4419313.0,-1.3,14.2,2.0,26797140.0,85.8,,,
1987,AUS,Australia,189487824245.6,2.6,2124.0,1285.0,5.3,81.0,68.0,131625.0,19.7,73.6,136.2,15.4,7.5,7.6,8.8,9.8,79.4,76.2,73.0,1.8,1.1,1.5,16263874.0,8144659.0,50.1,8119214.0,49.9,2354684.0,1.7,14.5,1.5,13909190.0,85.5,,,
1987,BLZ,Belize,281082558.6,10.7,231.0,132.0,20.9,85.0,53.0,-1502.0,128.0,129.8,180.1,36.8,5.8,32.9,36.9,40.7,72.1,70.2,68.5,4.8,1.1,2.2,170980.0,84143.0,49.2,86837.0,50.8,88846.0,2.6,52.0,1.8,82134.0,48.0,,,
1987,BOL,Bolivia,4347956337.8,2.5,22358.0,10846.0,43.8,35.0,57.0,-18952.0,100.4,256.7,315.6,37.1,13.1,84.8,92.4,99.7,55.8,54.5,53.1,5.1,1.0,2.1,6661434.0,3333551.0,50.0,3327883.0,50.0,3160917.0,0.0,47.5,4.1,3500517.0,52.5,,,
1987,BRA,Brazil,237517984427.8,3.5,226814.0,111043.0,28.5,58.0,64.0,-22335.0,87.0,167.8,244.8,27.3,7.4,52.6,58.6,64.4,67.7,65.1,62.6,3.2,1.0,2.0,142466264.0,71589812.0,50.3,70876452.0,49.7,40561570.0,-0.9,28.5,3.2,101904694.0,71.5,,,
1987,CAN,Canada,431316742081.4,,2901.0,1837.0,4.8,85.0,70.0,141697.0,24.0,74.4,135.7,14.4,7.2,6.6,7.5,8.4,80.2,76.8,73.5,1.7,1.0,1.3,26446601.0,13321982.0,50.4,13124619.0,49.6,6209133.0,1.2,23.5,1.3,20237468.0,76.5,,,
1987,CHL,Chile,22255407684.7,6.5,5248.0,2705.0,9.4,93.0,92.0,-15430.0,64.7,95.7,170.9,22.5,5.3,16.6,18.5,20.3,75.3,72.5,69.8,2.6,1.0,1.6,12712784.0,6388742.0,50.3,6324042.0,49.7,2175793.0,0.8,17.1,1.7,10536991.0,82.9,,,
1987,COL,Colombia,36373307085.1,5.4,27736.0,16816.0,19.4,58.0,59.0,-44372.0,90.0,135.6,252.0,28.4,5.8,28.4,32.2,35.9,72.0,68.3,64.8,3.2,1.0,2.1,30603048.0,15293772.0,50.0,15309275.0,50.0,9777368.0,0.6,31.9,2.8,20825680.0,68.1,,,
1987,CRI,Costa Rica,4532952047.2,4.8,1449.0,846.0,10.0,94.0,93.0,3497.0,97.2,79.1,119.5,29.0,3.9,14.9,17.2,19.4,77.7,75.7,73.9,3.4,1.1,2.7,2924595.0,1450648.0,49.6,1473947.0,50.4,1542314.0,0.9,52.7,4.6,1382281.0,47.3,,,
1987,CUB,Cuba,25213935012.1,-2.4,2180.0,1485.0,8.3,87.0,99.0,-16290.0,79.4,124.5,167.9,17.3,6.6,10.7,12.5,14.2,75.9,73.8,71.9,1.8,1.1,0.9,10326910.0,5098011.0,49.4,5228899.0,50.6,2899693.0,-0.8,28.1,1.6,7427217.0,71.9,,,
