Time,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]_x",Rural population (% of total population) [SP.RUR.TOTL.ZS]_x,Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF]_x,"Stillbirth rate (per 1,000 total births) [SH.DYN.STLB]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]_x,GDP at market prices (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]_x","Population, male (% of total) [SP.POP.TOTL.MA.ZS]","Population, female (% of total) [SP.POP.TOTL.FE.ZS]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]_y","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]",Population growth (annual %) [SP.POP.GROW],Number of infant deaths [SH.DTH.IMRT],Number of neonatal deaths [SH.DTH.NMRT],Net migration [SM.POP.NETM],"Population, female [SP.POP.TOTL.FE.IN]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population, male [SP.POP.TOTL.MA.IN]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, total [SP.POP.TOTL]_y",Rural population [SP.RUR.TOTL],Rural population (% of total population) [SP.RUR.TOTL.ZS]_y,Rural population growth (annual %) [SP.RUR.TOTL.ZG],Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]_y,Urban population growth (annual %) [SP.URB.GROW],Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF]_y
1987,ARG,70.728,22.232,14.157,1.053,,85.843,111106191358.197,3562.87560174521,31184415.0,48.8217526378805,51.1782473621195,22.232,8.157,3.059,74.004,67.148,70.564,122.404,216.781,25.7,22.8,28.5,16.8,1.51097418180074,17679.0,11646.0,32345.0,15862727.0,50.815276802909,15353727.0,49.1847264005299,31216453.0,4419313.0,14.157,-1.26157244837195,26797140.0,85.843,1.97569092831855,1.053
1988,ARG,70.333,22.069,13.767,1.054,,86.233,126206817196.091,3985.19121035849,31668949.0,48.7717633988306,51.2282366011694,22.069,7.96,3.042,74.381,67.711,71.052,119.584,208.954,25.6,22.5,28.5,16.3,1.50808699373212,17747.0,11360.0,30243.0,16100939.0,50.8063635645332,15589854.0,49.1936395909575,31690792.0,4362871.0,13.767,-1.28539272523412,27327921.0,86.233,1.961376138972,1.054
1989,ARG,69.963,21.907,13.387,1.054,,86.613,76636898036.4712,2383.86769311311,32148134.0,48.7298533037855,51.2701466962145,21.907,7.841,3.022,74.735,68.09,71.425,117.014,204.05,25.6,22.6,28.4,15.6,1.48765537832153,17864.0,10991.0,20445.0,16338719.0,50.7953673480059,15827047.0,49.2046326519941,32165766.0,4306031.0,13.387,-1.31137287194314,27859735.0,86.613,1.92735296674643,1.054
1990,ARG,70.928,21.989,13.016,1.054,,86.984,141352368714.691,4333.48297312146,32618651.0,48.6989313597547,51.3010686402453,21.989,7.743,3.034,74.963,68.552,71.784,115.717,197.946,25.4,22.5,28.1,15.0,1.45640251463185,18002.0,10778.0,6021.0,16574141.0,50.7822635675104,16063515.0,49.2177333685442,32637657.0,4248117.0,13.016,-1.35407722398728,28389540.0,86.984,1.88383110037878,1.054
1991,ARG,71.979,21.844,12.672,1.054,,87.328,189719984268.485,5735.36032735223,33079000.0,48.6806978033981,51.3193021966019,21.844,7.536,3.012,75.635,68.957,72.319,110.058,192.838,25.1,22.3,27.7,14.7,1.42406315580335,17977.0,10636.0,-8569.0,16807594.0,50.7693902116076,16298168.0,49.2306067677703,33105763.0,4195162.0,12.672,-1.25438693580294,28910601.0,87.328,1.81875770013478,1.054
1992,ARG,72.151,21.683,12.458,1.054,,87.542,228788617201.696,6823.5376160468,33529326.0,48.672928648717,51.327071351283,21.683,7.595,2.987,75.719,69.095,72.43,110.21,191.719,24.4,21.8,26.9,14.6,1.38743464174592,17637.0,10609.0,-13201.0,17039077.0,50.759450475352,16529209.0,49.2405525036504,33568285.0,4181937.0,12.458,-0.315742024464562,29386348.0,87.542,1.63218682909353,1.054
1993,ARG,72.502,21.57,12.248,1.054,,87.752,236741715015.015,6969.11808781005,33970111.0,48.670064379846,51.329935620154,21.57,7.631,2.966,75.94,69.16,72.565,109.009,191.683,23.5,21.0,26.0,14.4,1.35796579095645,17143.0,10598.0,-16383.0,17269492.0,50.7519622514197,16757748.0,49.2480377485803,34027240.0,4167656.0,12.248,-0.342076887482955,29859584.0,87.752,1.5975647575265,1.054
1994,ARG,73.516,21.419,12.04,1.055,,87.96,257440000000.0,7483.13968170844,34402672.0,48.6646515710743,51.3353484289257,21.419,7.403,2.935,76.049,70.18,73.172,108.916,177.904,22.6,20.0,25.0,14.2,1.34702378575008,16565.0,10463.0,-18725.0,17499129.0,50.7387377011877,16989567.0,49.2612622988123,34488696.0,4152439.0,12.04,-0.365789500413141,30336257.0,87.96,1.58377374866076,1.055
1995,ARG,72.81,20.974,11.836,1.055,,88.164,258031750000.0,7408.70823818765,34828170.0,48.6519072722975,51.3480927277025,20.974,7.535,2.864,76.243,69.95,73.133,107.854,181.927,21.6,19.2,23.9,13.6,1.31755424518083,15837.0,9964.0,-19736.0,17725502.0,50.7223894161611,17220607.0,49.2776077222901,34946110.0,4136222.0,11.836,-0.391306163756877,30809888.0,88.164,1.54920795991608,1.055
1996,ARG,71.39,20.449,11.634,1.054,,88.366,272149750000.0,7721.35454273963,35246374.0,48.6299215556232,51.3700784443768,20.449,7.541,2.781,76.418,70.123,73.307,107.068,180.225,20.7,18.2,23.0,12.6,1.26041058779251,14992.0,9122.0,-20396.0,17946204.0,50.7107305296999,17443158.0,49.2892694703001,35389362.0,4117198.0,11.634,-0.460997591090687,31272164.0,88.366,1.48926953663223,1.054
